24.2,19,28.4,22.5,109940,87.3,8.5,0
32.9,27.9,29.2,22.2,79871,54.3,9.2,0
29.6,30.5,32.4,27,13304,43.5,11.6,1
22.2,16.8,27.3,20.1,12404,84.2,6.4,0
25,23,34.7,28.3,29919,41,10.4,1
24.6,19.3,24.6,27.3,15347,65,4.8,0
21.6,18,28.5,20,31428,85.7,6.4,0
19.4,16.3,24.8,23.3,49258,67,6.3,0
27.2,21.9,31,29.1,64065,65.5,9.2,0
28.9,19.5,32.2,25.2,6954,29.8,8.8,0
30.6,25.1,29.9,32.7,5988,33.4,8.9,0
26,30.8,27.7,29.3,11493,48.2,10.2,1
29,23.9,28.8,25,23769,179.4,10.6,1
24.8,21.5,15.7,29.9,3010,70.1,4.7,0
24.9,26.4,27.8,22.3,9461,65.1,7.9,0
17.5,29.4,21.3,27.2,5760,52.4,5.9,0
26.2,21.3,26.1,20.9,35318,122.1,9.2,0
19,19.5,21.1,21,19336,36.4,6.9,0
23.8,25,24.1,16.7,17193,92.9,6.6,0
26.8,26,27,23.6,42397,37.7,5.8,0
17.2,19.5,23.6,16.5,95581,65.7,5.8,0
41.1,35.2,35.6,27.1,8018,65.5,9.6,1
20.7,20.6,21.1,19.7,9706,155.1,5.7,0
28,24.7,23.9,18.9,10638,47.3,8,0
22.7,21.7,22.4,16.4,107552,139.5,5.3,0
33.4,30.1,31.6,23.9,3146,66.4,13,1
34.4,26.6,32.3,24.1,18316,112.8,9.7,1
23.8,24.8,17.9,20.2,11965,48.8,7.3,0
32.1,26.8,21.3,25.6,4913,29.8,11.5,1
30.1,30.3,34.4,22.6,13071,148.6,11.1,1
16.3,16.2,20.3,17.6,12676,25.6,3.7,0
21,21.3,22.5,16.8,122672,151.3,5,0
24.2,27.8,23.4,23.5,10982,75.1,11,1
22.7,19.2,20.2,19.8,92558,53.1,5.5,0
31.2,20.8,26.6,25,5281,50.5,6.5,0
28.2,24.8,27.4,20.9,23560,65.8,7.9,0
19.5,25.8,20.4,21.6,13976,58.4,7.5,0
21.7,24,33.3,25,13800,62.6,9.7,1
28.7,22.1,27.3,21.7,6189,32.5,7.3,0
31.3,28.8,32.4,22.3,7636,113,8.4,0
18.3,19.1,17.9,22.2,3272,16.1,6.4,0
24.8,26.3,19.7,36.9,11681,36.5,4.2,0
27.7,24,33,24.1,14359,69.3,9.6,1
25.3,25.1,32.2,22.1,29325,114.4,6.7,0
24.8,15.6,18,16.5,2656,94.1,5.3,0
28.7,23.1,22.1,27.6,9423,5.3,6.6,0
30.6,27.7,28.7,27.3,34098,153.8,9.3,1
33.3,30.3,28.8,17.5,7537,100.5,9.7,1
30.6,26,28.1,30.5,7490,20.3,8.2,0
26.4,27,26.1,25.9,7351,44.9,6,0
36.2,33.7,34.9,25.4,6258,101.5,13.1,1
32.8,24.6,28.3,32,15142,86.9,8,0
20.2,19.6,23.9,21.1,24902,89.1,6.8,0
19,17.8,23.9,18,106915,124.5,6.9,0
17.3,17.4,26.2,20.7,8126,99,7,0
